program,Author(s),Author(s) Full Name,Year,Title,Place of Publication,Call No.,Book ID (Accession No.),Description,ISBN,Images
Management Technology,"Banaag, F. & Ducut, R. L.",Francis Banaag & Rodolfo L. Ducut.,2023,Inventory management and control. Second edition,Manila : Unlimited Books Library Services & Publishing Inc,FIL 658.7 B212i 2023,T45005,Provides help to those teaching the subject and the students enrolled in inventory management and control.,	978-6-214-27136-8,
Management Technology,"Cummings, T. G. & Worley, C. G.",Thomas G. Cummings & Christopher G. Worley,2009,Organization development and change. 9th edition,USA : South-Western Cengage Learning,658.406 C971o 2009,T44138,"Provides students with an excellent grounding in the theoretical underpinnings of the subject as well as describing, in practical terms, how behavioural science can be used to develop organizational strategies, structures and processes. It will enrich students' understanding and study of organization development, change management and human resources management.", 0-324-58053-3 (.),https://dlm.dlsl.edu.ph/passthrough?image=10108/0324580533.gif
Management Technology,"Deresky, H. & Miller, S. R.",Helen Deresky & Stewart R. Miller,2023,International management : managing across borders and cultures : text and cases. Tenth edition ; Global edition,United Kingdom : Pearson,658.049 D431i 2023,T45173,"Focuses on the global strategic positioning, effective cross-cultural understanding and management, and development of effective global management teams.",	978-1-29243036-2,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781292430362.gif
Management Technology,"Flores, M. F. & Ducut, R. L.",Marivic Francisco Flores & Rodolfo Lapaz Ducut,2023,Organization development. Second edition,Manila : Unlimited Books Library Services & Publishing Inc,FIL 658.406 F634o 2023,T45002,Discusses the realities and principles of organizational change and its implications within the organization. It also describes the process of implementing organizational changes and the significant role that consultants/practitioners play in addressing the issues concerns emanating from this change.,	978-6-214-27135-1,https://dlm.dlsl.edu.ph/passthrough?image=10108/9786214271351.gif
Management Technology,"Pereda, P. R. & Pereda, P. P.",Perla R. Pereda & Patrick P. Pereda,2021,Principles of management & organization,"Manila : Mindshapers Co., Inc",FIL 658 P434p 2021,T45008,"Helps readers to face the world of work with challenges in the organization focusing on discussion about organization, deals with management and leadership as an important component of effective management of organization.",978-9-71990568-4,https://dlm.dlsl.edu.ph/passthrough?image=10108/9789719905684.gif
Management Technology,"Baltzan, P.",Paige Baltzan,2023,Business driven information systems. Eight edition,New York : McGraw Hill,658.4038011 B197b 2023,T45127,"Promotes the belief that technology should support the needs and goals of a business. This perspective is reinforced throughout the pedagogy that presents business initiatives first and how technology supports those initiatives second. Business Driven Information Systems is designed to give students the ability to understand how information technology can be a point of strength for an organization. Recognizing the dynamic nature of information technology, the new 8th edition provides coverage of both current and emerging technologies, in an easy-to-understand format. The clear and concise explanations are brought to life through the numerous case studies, exercises, projects, and questions that support key concepts. The business-driven approach brings the difficult and often intangible MIS concepts to the student's level and applies them using a hands-on approach to reinforce the concepts. McGraw-Hill Connect, an award-winning digital teaching and learning solution, is available for purchase alongside this product. This digital solution empowers students to achieve better outcomes and enables instructors to improve course management efficiency. To complement this edition, the Canadian Companion Connect offers eight Canadian Case Studies and two additional Canadianized modules: (1) Data Analytics and (2) Regulatory Issues. Each module offers accompanying teaching notes and assignable questions in Connect.",978-1-26507040-3,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781265070403.gif
Entrepreneurship,"3G E-learning LLC, USA",,2023,"3GE collection on business management : advances in business, management and entrepreneurship",New York : 3G E-learning,658 T531t 2023,T44751,Aims to bring together multidisciplinary knowledge and value creation initiatives from a wide range of business disciplines to address global sustainable development.,	978-1-984680-88-4,
Entrepreneurship,"Cox, A.",Ali Cox,2023,Business analysis for dummies. 2nd edition,"Hoboken, New Jersey : John Wiley & Sons, Inc",658.4012 C877b 2023,T44747,"Reveals the techniques smart business analysts use to drive better decisions. Get help with brushing up on business basics, identifying important goals, and working with other people to make cool stuff happen.",	978-1-11991248-4,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781119912484.gif
Entrepreneurship,"Murphy, C.",Clare Murphy,2022,"Sustainable leadership : lessons of vision, courage, and grit from the CEOs who dared to build a better world","Hoboken, New Jersey : John Wiley & Sons, Inc",658.42 M978s 2022,T44748,Showcases the authors expertise in leadership as he delivers an incisive and comprehensive exploration of how you can reimagine your organization and business model to deliver breakthrough sustainability results which shows that sustainability is not an add-on to business strategy but a business strategy.,	978-1-11987215-3,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781119872153.gif
Entrepreneurship,"Cabudol, E. G.",Emerson G. Cabudol,2022,Economic development. First edition,Manila : Rex Book Store,FIL 338.9 C117e 2022,T44836,"Features the theories, evaluating rationalities of the principles to ultimately be used as a basis of policy making, whether in the private or public sector. It also highlights the basic issues of economic development as a precursor to higher economics or policy-making decisions, notwithstanding the interrelationships of local concerns in the economy and the international market. de Avila.",	978-6-210-44124-6,
Entrepreneurship,"Santos, J. H.",Joao Heitor de Avila Santos,2024,Entrepreneurship,"Burlington, ON : Toronto Academic Press",658.421 D285e 2024,T44754,"Caters to a broad spectrum of readers and pedagogical approaches as it offers a holistic view of entrepreneurship, blending academic theory with practical application. Also it covers a wide range of topics, including market analysis, business planning, financing, legal considerations, and more. It also features case studies that bring these concepts to life through real-world examples.",	978-1-77469-716-0,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781774697160.gif
Entrepreneurship,"Jimenez, C. E. A.",Christian Eligius A. Jimenez,2022,Managerial economics in the 21st century. First edition,Manila : Rex Book Store,FIL 338.5 J61m 2022,T44851,"Gives an overview of how to think like an economist and apply the fundamental business economic concepts and principles, such as demand and supply, elasticity, cost of production, and utility. It delves further into consumer behavior, international economy, and banking in the Philippines.",	978-6-210-43888-8,
Entrepreneurship,"Lopez-Mariano, N. D.",Norma Dy Lopez-Mariano,2023,International business and trade. First edition,Manila : Rex Book Store,FIL 658.409 L864i 2023,T44841,"Provides chapters divided into lessons with their own lesson objectives, lesson summary, key takeaways, formative practice exercises, and connections and applications.",978-6-210-44376-9,
Entrepreneurship,"Riguera, M. A. A.",Maria Anita A. Riguera,2022,Management science. First edition,Manila : Rex Book Store,FIL 658.4033 R572m 2022,T44734,Serves as a guide to entrepreneurs and managers in making decisions methodically and help them manage their operations more efficiently.,	978-6-210-43677-8,https://dlm.dlsl.edu.ph/passthrough?image=10108/9786210436778.gif
Entrepreneurship,"Camilar-Serrano, A. O.",Aida O. Camilar-Serrano,2021,Entrepreneurial mindset,Manila : Unlimited Books Library Services & Publishing Inc,FIL 658.84 C183e 2021,T44993,Influences students to have flexibility of becoming an entrepreneur and to develop their creativity through activities that would make them experience what real new entrepreneurs have done in becoming successful.,	978-6-214-27083-5,https://dlm.dlsl.edu.ph/passthrough?image=10108/9786214270835.gif
Entrepreneurship,"Frias, S. A. & Banastao, C. B.",Solita A. Frias & Cristina B. Banastao,2022,Entrepreneurship. 2022 edition,Manila : Unlimited Books Library Services & Publishing Inc,FIL 658.421 F897e 2022,T45000,"Presents an alternative to employment - by being a business owner as it will teach you how to start a business, how to prepare a business plan, how to prepare a feasibility study, how to manage your business and how to interpret your financial statements.",	978-6-214-27107-8,
Agribusiness,,,2001,The Sapat 2000 : integrated farming systems,"Barangay San Isidro, Calauan, Laguna : Philippine Business for Social Progress - Center for Rural Technology Development",FIL 630.31369 S187 2001,T44089,Presents on how CRTD (Center for Rural Technology Development) developed and helped local farmers on how to optimize the use of land with appropriate technologies in their farming system.,	9-71857228-7,
